source,target,length
4266,3124,0.699762
3124,3089,2.521053
3089,2915,4.630503
4266,3089,3.074780
4155,3124,2.449365
3124,2397,1.311778
2397,4155,3.484328
4155,2397,3.484328
4155,3089,1.510743
3089,3124,2.521053
3124,4155,2.449365
4155,2029,4.898636
2029,3089,4.966065
3089,4155,1.510743
2029,4155,4.898636
4864,3006,2.555880
249,4665,1.679881
4665,2915,3.727823
2915,249,4.542272
249,2915,4.542272
2915,3089,4.630503
3089,249,3.302549
249,3089,3.302549
3089,2029,4.966065
4665,249,1.679881
4021,1042,4.577369
4249,4665,6.038409
3005,2915,6.025566
1042,3005,0.925932
2915,4665,3.727823
4665,4249,6.038409
3006,2236,4.665001
1186,927,2.254205
927,2793,4.334540
2793,1186,3.485090
1186,3126,3.038528
927,1186,2.254205
3126,1186,3.038528
1186,2793,3.485090
2793,2847,3.263184
2862,2793,5.602026
2793,927,4.334540
927,2862,2.878020
4486,2862,0.955494
2862,927,2.878020
927,4486,3.382449
3050,2862,2.089743
2862,4486,0.955494
4486,3050,1.604179
2862,3050,2.089743
2343,2847,3.018907
2847,2793,3.263184
2793,2343,3.187944
4772,2862,6.551110
4941,4772,2.622597
4772,2343,0.301909
2343,2793,3.187944
2793,4772,3.330642
4772,2793,3.330642
2793,2862,5.602026
2862,4772,6.551110
2036,4772,1.569075
4772,4941,2.622597
4941,2036,2.591848
2036,2343,1.558259
2343,4772,0.301909
4772,2036,1.569075
2847,301,1.559984
301,2343,2.698934
2343,2036,1.558259
2036,301,2.434707
301,2847,1.559984
2847,2343,3.018907
2343,301,2.698934
301,2036,2.434707
2036,4941,2.591848
4941,3463,2.900279
3463,3989,3.284041
3989,445,4.368970
2939,759,5.001605
1131,4590,5.103742
759,2939,5.001605
3001,759,1.937538
445,3989,4.368970
3989,3001,2.572398
2649,759,4.629417
759,3001,1.937538
3001,2649,4.637759
2903,759,5.326329
759,2649,4.629417
2649,2903,1.435395
759,2903,5.326329
2903,1566,0.872455
1566,2314,0.669502
2314,2903,0.259649
2903,2649,1.435395
2649,1566,0.984775
1566,2903,0.872455
809,2903,3.575650
2903,2314,0.259649
2314,809,3.447495
2903,809,3.575650
3857,2480,3.207885
2480,2292,3.903797
2292,3857,2.291130
3857,809,3.891544
809,1051,1.628010
1051,3857,3.696280
3857,2292,2.291130
809,3857,3.891544
2208,1051,1.064589
1051,809,1.628010
809,2208,1.292834
2208,809,1.292834
809,2314,3.447495
2314,2208,3.318958
2208,2314,3.318958
2314,1566,0.669502
1566,2208,3.333157
1535,2208,3.539570
2208,1566,3.333157
1566,1535,2.839801
1535,1566,2.839801
1566,2649,0.984775
2649,1535,3.074996
3645,1535,0.764064
